experiment,image_filename,layer,coverage,center_dist
best-t1,Tardigrade_011_0016.png,22,0.14751844,0.13240225620474078
best-t1,Tardigrade_012_0001.png,10_C2PSA_Attention,0.50284326,0.11101269939228249
best-t1,Tardigrade_012_0001.png,16,0.19560663,0.08514456636328982
best-t1,Tardigrade_012_0001.png,19,0.73608375,0.14948174562812666
best-t1,Tardigrade_012_0001.png,22,0.18914482,0.015487914529468398
best-t1,Tardigrade_012_0006.png,10_C2PSA_Attention,0.5562188,0.05087887924797531
best-t1,Tardigrade_012_0006.png,16,0.17079355,0.11037478966220685
best-t1,Tardigrade_012_0006.png,19,0.120826855,0.17114398296877192
best-t1,Tardigrade_012_0006.png,22,0.17261106,0.08595549060700351
best-t1,Tardigrade_011_0055.png,10_C2PSA_Attention,0.4672945,0.1801157376932334
best-t1,Tardigrade_011_0055.png,16,0.19675255,0.12026007344224376
best-t1,Tardigrade_011_0055.png,19,0.7176868,0.14980812849835898
best-t1,Tardigrade_011_0055.png,22,0.13557515,0.08104688088982127
best-t1,Tardigrade_012_0005.png,10_C2PSA_Attention,0.5098183,0.07143186022018357
best-t1,Tardigrade_012_0005.png,16,0.67493373,0.05266760043119991
best-t1,Tardigrade_012_0005.png,19,0.7859586,0.08477236645476928
best-t1,Tardigrade_012_0005.png,22,0.17329666,0.056380134793893005
best-t1,Tardigrade_01_0010.png,10_C2PSA_Attention,0.30179694,0.4966047903688795
best-t1,Tardigrade_01_0010.png,16,0.10708906,0.524624881442249
best-t1,Tardigrade_01_0010.png,19,0.07918279,0.6038965516425409
best-t1,Tardigrade_01_0010.png,22,0.07014499,0.5358737345274627
best-t1,Tardigrade_011_0003.png,10_C2PSA_Attention,0.5204006,0.07281259888351213
best-t1,Tardigrade_011_0003.png,16,0.43445468,0.1691424169713402
best-t1,Tardigrade_011_0003.png,19,0.1563671,0.12331802165493114
best-t1,Tardigrade_011_0003.png,22,0.23531926,0.08429174200999687
best-t1,Tardigrade_011_0075.png,10_C2PSA_Attention,0.0024120966,0.47385774866546193
best-t1,Tardigrade_011_0075.png,16,0.70896137,0.10100017432858646
best-t1,Tardigrade_011_0075.png,19,0.12699756,0.1858414959460748
best-t1,Tardigrade_011_0075.png,22,0.1976199,0.13321544713960434
best-t1,Tardigrade_01_0008.png,10_C2PSA_Attention,0.3744023,0.6263077363614828
best-t1,Tardigrade_01_0008.png,16,0.3248846,0.4940794418367616
best-t1,Tardigrade_01_0008.png,19,0.051665314,0.6896573485654973
best-t1,Tardigrade_01_0008.png,22,0.15627503,0.47617279244241284
best-t1,Tardigrade_06.JPG,10_C2PSA_Attention,0.0,1.1481969911270404
best-t1,Tardigrade_06.JPG,16,0.29020634,0.48586317037377375
best-t1,Tardigrade_06.JPG,19,0.021985926,0.7290124265187705
best-t1,Tardigrade_06.JPG,22,0.050869443,0.6492471929826164
best-t1,Tardigrade_011_0031.png,10_C2PSA_Attention,0.4681811,0.048814257737719656
best-t1,Tardigrade_011_0031.png,16,0.87989163,0.05770438834044318
best-t1,Tardigrade_011_0031.png,19,0.78423285,0.11343247281487787
best-t1,Tardigrade_011_0031.png,22,0.06655753,0.12253183233110196
best-t1,Tardigrade_011_0020.png,10_C2PSA_Attention,0.45888498,0.07132803896574381
best-t1,Tardigrade_011_0020.png,16,0.26910108,0.1145146354507074
best-t1,Tardigrade_011_0020.png,19,0.7913229,0.11562216738993629
best-t1,Tardigrade_011_0020.png,22,0.14909044,0.09629809938044223
best-t1,Tardigrade_011_0084.png,10_C2PSA_Attention,0.45337936,0.15946594226333494
best-t1,Tardigrade_011_0084.png,16,0.44515562,0.16007194245227932
best-t1,Tardigrade_011_0084.png,19,0.6129422,0.06318233555713447
best-t1,Tardigrade_011_0084.png,22,0.13242234,0.14099324776112132
best-t1,Tardigrade_01_0006.png,10_C2PSA_Attention,0.34361568,0.5613466438961665
best-t1,Tardigrade_01_0006.png,16,0.11508965,0.4041674023550098
best-t1,Tardigrade_01_0006.png,19,0.42128125,0.5340218316140964
best-t1,Tardigrade_01_0006.png,22,0.08965506,0.4173844412257067
best-t1,Tardigrade_08.JPG,10_C2PSA_Attention,0.51752764,0.10852606764292709
best-t1,Tardigrade_08.JPG,16,0.49904582,0.3601042618241854
best-t1,Tardigrade_08.JPG,19,0.074902646,0.5055091076143016
best-t1,Tardigrade_08.JPG,22,0.10005694,0.33390017325075577
best-t1,Tardigrade_011_0073.png,10_C2PSA_Attention,0.5019964,0.03435496351275392
best-t1,Tardigrade_011_0073.png,16,0.6092419,0.15170538516724155
best-t1,Tardigrade_011_0073.png,19,0.8020959,0.09777547650205907
best-t1,Tardigrade_011_0073.png,22,0.14724335,0.17020137662971285
best-t1,Tardigrade_011_0006.png,10_C2PSA_Attention,0.53941745,0.09910876689056161
best-t1,Tardigrade_011_0006.png,16,0.4613775,0.11123329016253876
best-t1,Tardigrade_011_0006.png,19,0.8259655,0.14080451144853623
best-t1,Tardigrade_011_0006.png,22,0.24862702,0.06805047516730635
best-t1,Tardigrade_012_0004.png,10_C2PSA_Attention,0.5032594,0.07329430710753873
best-t1,Tardigrade_012_0004.png,16,0.6767254,0.06622010974865765
best-t1,Tardigrade_012_0004.png,19,0.7819966,0.09482739424845604
best-t1,Tardigrade_012_0004.png,22,0.16093007,0.04853547361119105
best-t1,Tardigrade_011_0004.png,10_C2PSA_Attention,0.5524204,0.0910075476983031
best-t1,Tardigrade_011_0004.png,16,0.50234157,0.16523859728417387
best-t1,Tardigrade_011_0004.png,19,0.1723538,0.13789269247003583
best-t1,Tardigrade_011_0004.png,22,0.22876804,0.10508983188864207
best-t1,Tardigrade_011_0014.png,10_C2PSA_Attention,0.43617192,0.03294163533224551
best-t1,Tardigrade_011_0014.png,16,0.36506552,0.21542831179324495
best-t1,Tardigrade_011_0014.png,19,0.78281975,0.14130461751457837
best-t1,Tardigrade_011_0014.png,22,0.0976954,0.13704639791145232
best-t1,Tardigrade_01_0004.png,10_C2PSA_Attention,0.32635683,0.5042282733481127
best-t1,Tardigrade_01_0004.png,16,0.36647227,0.48547627472281807
best-t1,Tardigrade_01_0004.png,19,0.038424615,0.5585663868630929
best-t1,Tardigrade_01_0004.png,22,0.063115194,0.47113335271982226
best-t1,Tardigrade_011_0044.png,10_C2PSA_Attention,0.42268866,0.05740957971232207
best-t1,Tardigrade_011_0044.png,16,0.12694731,0.14093318815078337
best-t1,Tardigrade_011_0044.png,19,0.027108312,0.16766534237376698
best-t1,Tardigrade_011_0044.png,22,0.08185071,0.12321200553140069
best-t1,Tardigrade_010.JPG,10_C2PSA_Attention,0.36716607,0.025049633286754993
best-t1,Tardigrade_010.JPG,16,0.053586386,0.131363542972651
best-t1,Tardigrade_010.JPG,19,0.0069516078,0.12963860138714067
best-t1,Tardigrade_010.JPG,22,0.03621471,0.0692668329278025
best-t1,Tardigrade_011_0015.png,10_C2PSA_Attention,0.4646893,0.06927143732937326
best-t1,Tardigrade_011_0015.png,16,0.44533882,0.15982775855293865
best-t1,Tardigrade_011_0015.png,19,0.1350261,0.1807808671377647
best-t1,Tardigrade_011_0015.png,22,0.1699361,0.15229601760591413
best-t1,Tardigrade_011_0012.png,10_C2PSA_Attention,0.49065968,0.07702655078602262
best-t1,Tardigrade_011_0012.png,16,0.4254088,0.08826673666609212
best-t1,Tardigrade_011_0012.png,19,0.82281,0.11589248743299314
best-t1,Tardigrade_011_0012.png,22,0.19056132,0.10801399147078859
best-t1,Tardigrade_011_0017.png,10_C2PSA_Attention,0.48483086,0.1097449356007256
best-t1,Tardigrade_011_0017.png,16,0.22774035,0.2327367389959387
best-t1,Tardigrade_011_0017.png,19,0.14105138,0.18146920318963586
best-t1,Tardigrade_011_0017.png,22,0.17931648,0.15347026447121864
best-t1,Tardigrade_02.JPG,10_C2PSA_Attention,0.37337255,0.07171526368018104
best-t1,Tardigrade_02.JPG,16,0.42323887,0.15386895581608906
best-t1,Tardigrade_02.JPG,19,0.60106874,0.12077574072110162
best-t1,Tardigrade_02.JPG,22,0.04694249,0.10868278866604872
best-t1,Tardigrade_012_0003.png,10_C2PSA_Attention,0.5156407,0.08882439575700397
best-t1,Tardigrade_012_0003.png,16,0.18983462,0.07280683729331452
best-t1,Tardigrade_012_0003.png,19,0.7729345,0.14873063475122714
best-t1,Tardigrade_012_0003.png,22,0.18140984,0.009214827073842769
best-t1,Tardigrade_011_0059.png,10_C2PSA_Attention,0.3788046,0.2153040653898908
best-t1,Tardigrade_011_0059.png,16,0.08712538,0.1501747486965813
best-t1,Tardigrade_011_0059.png,19,0.038143247,0.16826464544984443
best-t1,Tardigrade_011_0059.png,22,0.07863717,0.09130023815127364
best-t1,Tardigrade_011_0077.png,10_C2PSA_Attention,0.5437495,0.16503365031947953
best-t1,Tardigrade_011_0077.png,16,0.20004529,0.1386568139631407
best-t1,Tardigrade_011_0077.png,19,0.1408759,0.3256100921403559
best-t1,Tardigrade_011_0077.png,22,0.20830788,0.1419495655048369
best-t1,Tardigrade_011_0019.png,10_C2PSA_Attention,0.4821039,0.13603920306464382
best-t1,Tardigrade_011_0019.png,16,0.12711875,0.12897508077683112
best-t1,Tardigrade_011_0019.png,19,0.10204647,0.15575530452822903
best-t1,Tardigrade_011_0019.png,22,0.1006651,0.11417017811191975
best-t1,Tardigrade_011_0001.png,10_C2PSA_Attention,0.53140754,0.09549348662796542
best-t1,Tardigrade_011_0001.png,16,0.32305965,0.15881132460434255
best-t1,Tardigrade_011_0001.png,19,0.7307663,0.1770389194488147
best-t1,Tardigrade_011_0001.png,22,0.25819594,0.11254872363879168
best-t1,Tardigrade_011_0009.png,10_C2PSA_Attention,0.47389612,0.1138582814775118
best-t1,Tardigrade_011_0009.png,16,0.46607596,0.183354102668452
best-t1,Tardigrade_011_0009.png,19,0.15064937,0.18012674894691513
best-t1,Tardigrade_011_0009.png,22,0.21101238,0.12488651552586222
best-t1,Tardigrade_011_0002.png,10_C2PSA_Attention,0.47259277,0.15916497278624656
best-t1,Tardigrade_011_0002.png,16,0.5262126,0.14929991419438965
best-t1,Tardigrade_011_0002.png,19,0.19491212,0.1575636746642318
best-t1,Tardigrade_011_0002.png,22,0.24299376,0.11464788582455496
best-t1,Tardigrade_011_0038.png,10_C2PSA_Attention,0.39472657,0.21038507754493369
best-t1,Tardigrade_011_0038.png,16,0.72225,0.024842475678005828
best-t1,Tardigrade_011_0038.png,19,0.75114894,0.09419784364605228
best-t1,Tardigrade_011_0038.png,22,0.036650117,0.11375755723998922
best-t1,Tardigrade_011_0050.png,10_C2PSA_Attention,0.40763393,0.06598722005316408
best-t1,Tardigrade_011_0050.png,16,0.7413033,0.06285994968292076
best-t1,Tardigrade_011_0050.png,19,0.78503245,0.09550093995093359
best-t1,Tardigrade_011_0050.png,22,0.06875242,0.07813926693487283
best-t1,Tardigrade_011_0035.png,10_C2PSA_Attention,0.38518727,0.1453060865741844
best-t1,Tardigrade_011_0035.png,16,0.06975033,0.10109433351120085
best-t1,Tardigrade_011_0035.png,19,0.78800154,0.08786124837308473
best-t1,Tardigrade_011_0035.png,22,0.03977275,0.10589357306383004
best-t1,Tardigrade_04.JPG,10_C2PSA_Attention,0.3783906,0.2400890192286562
best-t1,Tardigrade_04.JPG,16,0.4243773,0.2927227690433375
best-t1,Tardigrade_04.JPG,19,0.5811283,0.2358556206769583
best-t1,Tardigrade_04.JPG,22,0.09126687,0.4787524724459164
best-t1,Tardigrade_011_0007.png,10_C2PSA_Attention,0.5504867,0.05806552193510095
best-t1,Tardigrade_011_0007.png,16,0.4166901,0.1210156518273847
best-t1,Tardigrade_011_0007.png,19,0.81569767,0.12354369372048987
best-t1,Tardigrade_011_0007.png,22,0.1889332,0.08982256502360486
best-t1,Tardigrade_011_0067.png,10_C2PSA_Attention,0.4414843,0.1783460439852988
best-t1,Tardigrade_011_0067.png,16,0.14180611,0.14109011942673338
best-t1,Tardigrade_011_0067.png,19,0.070422746,0.1528986717512748
best-t1,Tardigrade_011_0067.png,22,0.20912732,0.06472179814511475
best-t1,Tardigrade_011_0023.png,10_C2PSA_Attention,0.4047973,0.14712195999589237
best-t1,Tardigrade_011_0023.png,16,0.052690685,0.1500634520724512
best-t1,Tardigrade_011_0023.png,19,0.04458538,0.20422114310531653
best-t1,Tardigrade_011_0023.png,22,0.06504866,0.12260506512645247
best-t1,Tardigrade_011_0088.png,10_C2PSA_Attention,0.59074664,0.12707852154694593
best-t1,Tardigrade_011_0088.png,16,0.74157315,0.07335724221292368
best-t1,Tardigrade_011_0088.png,19,0.1774909,0.12778887222934956
best-t1,Tardigrade_011_0088.png,22,0.18908033,0.0749441547603234
best-t1,Tardigrade_011_0011.png,10_C2PSA_Attention,0.5114316,0.0772187969557257
best-t1,Tardigrade_011_0011.png,16,0.35876408,0.17539812873494753
best-t1,Tardigrade_011_0011.png,19,0.8217273,0.10711718999533021
best-t1,Tardigrade_011_0011.png,22,0.19806522,0.11130007827654585
best-t1,Tardigrade_011_0013.png,10_C2PSA_Attention,0.4855249,0.054008430824129317
best-t1,Tardigrade_011_0013.png,16,0.33771288,0.157002674759101
best-t1,Tardigrade_011_0013.png,19,0.057736922,0.07121576771399316
best-t1,Tardigrade_011_0013.png,22,0.12821311,0.05248181896492328
best-t1,Tardigrade_011_0069.png,10_C2PSA_Attention,0.36939424,0.2218351672113871
best-t1,Tardigrade_011_0069.png,16,0.7279503,0.023470039425559426
best-t1,Tardigrade_011_0069.png,19,0.78748554,0.05678555456002119
best-t1,Tardigrade_011_0069.png,22,0.0842535,0.0463045572173998
best-t1,Tardigrade_011_0018.png,10_C2PSA_Attention,0.3919861,0.06715513350653578
best-t1,Tardigrade_011_0018.png,16,0.05002468,0.21618143018787103
best-t1,Tardigrade_011_0018.png,19,0.04628261,0.21842523189956065
best-t1,Tardigrade_011_0018.png,22,0.09693654,0.1288089577779223
best-t1,Tardigrade_01_0002.png,10_C2PSA_Attention,0.3900934,0.44621388578822385
best-t1,Tardigrade_01_0002.png,16,0.4391784,0.40413382624430644
best-t1,Tardigrade_01_0002.png,19,0.01601706,0.4647090655320457
best-t1,Tardigrade_01_0002.png,22,0.08627812,0.41139169442496326
best-t1,Tardigrade_011_0027.png,10_C2PSA_Attention,0.50308293,0.04176743832860523
best-t1,Tardigrade_011_0027.png,16,0.25326833,0.08113913966633239
best-t1,Tardigrade_011_0027.png,19,0.82259995,0.07870338387602213
best-t1,Tardigrade_011_0027.png,22,0.1305886,0.0834975656482365
best-t1,Tardigrade_Glocken_01.JPG,10_C2PSA_Attention,0.21984725,0.3070386872101467
best-t1,Tardigrade_Glocken_01.JPG,16,0.095329136,0.6273567575616371
best-t1,Tardigrade_Glocken_01.JPG,19,0.29312545,0.5581312033665555
best-t1,Tardigrade_Glocken_01.JPG,22,0.027229393,0.6035110304791695
best-t1,Tardigrade_011_0086.png,10_C2PSA_Attention,0.54729295,0.15622005437380443
best-t1,Tardigrade_011_0086.png,16,0.20712617,0.08884404076203349
best-t1,Tardigrade_011_0086.png,19,0.16147953,0.1476980055549596
best-t1,Tardigrade_011_0086.png,22,0.18413815,0.09791294819946963
best-t1,Tardigrade_011_0008.png,10_C2PSA_Attention,0.49350753,0.061314517474822895
best-t1,Tardigrade_011_0008.png,16,0.42250478,0.21266202783535254
best-t1,Tardigrade_011_0008.png,19,0.11630236,0.1626092367974791
best-t1,Tardigrade_011_0008.png,22,0.17106646,0.14779385784447513
best-t2.1-alpha,Tardigrade_011_0065.png,10_C2PSA_Attention,0.021119997,0.4972587674049343
best-t2.1-alpha,Tardigrade_011_0065.png,16,0.068809845,0.16810563826343997
best-t2.1-alpha,Tardigrade_011_0065.png,19,0.42944688,0.12216079605234466
best-t2.1-alpha,Tardigrade_011_0065.png,22,0.019880688,0.09153218675923631
best-t2.1-alpha,Tardigrade_011_0063.png,10_C2PSA_Attention,0.5757004,0.1128538002863593
best-t2.1-alpha,Tardigrade_011_0063.png,16,0.08875475,0.1873329179379108
best-t2.1-alpha,Tardigrade_011_0063.png,19,0.07653746,0.047789037183479766
best-t2.1-alpha,Tardigrade_011_0063.png,22,0.039944887,0.12239355362276297
best-t2.1-alpha,Tardigrade_011_0010.png,10_C2PSA_Attention,0.037879307,0.24395489869868775
best-t2.1-alpha,Tardigrade_011_0010.png,16,0.17810144,0.16973129223537728
best-t2.1-alpha,Tardigrade_011_0010.png,19,0.49218696,0.27536682732145956
best-t2.1-alpha,Tardigrade_011_0010.png,22,0.048267934,0.15868032600163923
best-t2.1-alpha,Tardigrade_012_0002.png,10_C2PSA_Attention,0.09508814,0.11161200102593018
best-t2.1-alpha,Tardigrade_012_0002.png,16,0.17599443,0.06683226499881623
best-t2.1-alpha,Tardigrade_012_0002.png,19,0.3518038,0.15774021515965536
best-t2.1-alpha,Tardigrade_012_0002.png,22,0.10910392,0.03625351941035144
best-t2.1-alpha,Tardigrade_011_0080.png,10_C2PSA_Attention,0.5411787,0.12859419310938974
best-t2.1-alpha,Tardigrade_011_0080.png,16,0.3935891,0.15550067626511477
best-t2.1-alpha,Tardigrade_011_0080.png,19,0.5036044,0.0658693815458136
best-t2.1-alpha,Tardigrade_011_0080.png,22,0.043032724,0.39923538829876526
best-t2.1-alpha,Tardigrade_011_0005.png,10_C2PSA_Attention,0.2086849,0.13200518550995827
best-t2.1-alpha,Tardigrade_011_0005.png,16,0.3034605,0.17810284549887492
best-t2.1-alpha,Tardigrade_011_0005.png,19,0.6082627,0.159186790128237
best-t2.1-alpha,Tardigrade_011_0005.png,22,0.097357966,0.13440430528996414
best-t2.1-alpha,Tardigrade_011_0016.png,10_C2PSA_Attention,0.03373626,0.19588261415279626
best-t2.1-alpha,Tardigrade_011_0016.png,16,0.21657903,0.23177060654330142
best-t2.1-alpha,Tardigrade_011_0016.png,19,0.3227992,0.19593950252701733
best-t2.1-alpha,Tardigrade_011_0016.png,22,0.043480095,0.16834802107174404
best-t2.1-alpha,Tardigrade_012_0001.png,10_C2PSA_Attention,0.071603745,0.05987691596105848
best-t2.1-alpha,Tardigrade_012_0001.png,16,0.1727264,0.0632754732336153
best-t2.1-alpha,Tardigrade_012_0001.png,19,0.1526986,0.03470422412426764
best-t2.1-alpha,Tardigrade_012_0001.png,22,0.10062491,0.056100760695631864
best-t2.1-alpha,Tardigrade_012_0006.png,10_C2PSA_Attention,0.099548094,0.19288614754317923
best-t2.1-alpha,Tardigrade_012_0006.png,16,0.19368568,0.050702201506968074
best-t2.1-alpha,Tardigrade_012_0006.png,19,0.16899866,0.10370052248766072
best-t2.1-alpha,Tardigrade_012_0006.png,22,0.08767609,0.16284238983554009
best-t2.1-alpha,Tardigrade_011_0055.png,10_C2PSA_Attention,0.48962298,0.1077964995500037
best-t2.1-alpha,Tardigrade_011_0055.png,16,0.23744228,0.11791943430852916
best-t2.1-alpha,Tardigrade_011_0055.png,19,0.3736639,0.09883460825286287
best-t2.1-alpha,Tardigrade_011_0055.png,22,0.036963496,0.045212299296872156
best-t2.1-alpha,Tardigrade_012_0005.png,10_C2PSA_Attention,0.113063075,0.06812219812235647
best-t2.1-alpha,Tardigrade_012_0005.png,16,0.18981698,0.02612057935638914
best-t2.1-alpha,Tardigrade_012_0005.png,19,0.6919851,0.08868123116456271
best-t2.1-alpha,Tardigrade_012_0005.png,22,0.110284105,0.1451863815885238
best-t2.1-alpha,Tardigrade_01_0010.png,10_C2PSA_Attention,0.32371137,0.6195405191800063
best-t2.1-alpha,Tardigrade_01_0010.png,16,0.37164444,0.5056396895202966
best-t2.1-alpha,Tardigrade_01_0010.png,19,0.084664226,0.5184898428721413
best-t2.1-alpha,Tardigrade_01_0010.png,22,0.030835493,0.6101733520827167
best-t2.1-alpha,Tardigrade_011_0003.png,10_C2PSA_Attention,0.11607585,0.13436877828659302
best-t2.1-alpha,Tardigrade_011_0003.png,16,0.2739791,0.17245980259033464
best-t2.1-alpha,Tardigrade_011_0003.png,19,0.42250878,0.15912690412344146
best-t2.1-alpha,Tardigrade_011_0003.png,22,0.08926675,0.13647862619665022
best-t2.1-alpha,Tardigrade_011_0075.png,10_C2PSA_Attention,0.017787866,0.35716134485447976
best-t2.1-alpha,Tardigrade_011_0075.png,16,0.32598302,0.16068223200386791
best-t2.1-alpha,Tardigrade_011_0075.png,19,0.0884448,0.18541765940284827
best-t2.1-alpha,Tardigrade_011_0075.png,22,0.06732194,0.11121824306279308
best-t2.1-alpha,Tardigrade_01_0008.png,10_C2PSA_Attention,0.40414008,0.3451805817392941
best-t2.1-alpha,Tardigrade_01_0008.png,16,0.45502004,0.41466364798159117
best-t2.1-alpha,Tardigrade_01_0008.png,19,0.16580442,0.4639596874450958
best-t2.1-alpha,Tardigrade_01_0008.png,22,0.58623147,0.3591303700467872
best-t2.1-alpha,Tardigrade_06.JPG,10_C2PSA_Attention,0.0007037932,0.8730950385406632
best-t2.1-alpha,Tardigrade_06.JPG,16,0.079544105,0.6376422240527823
best-t2.1-alpha,Tardigrade_06.JPG,19,0.008674773,0.6932504651926987
best-t2.1-alpha,Tardigrade_06.JPG,22,0.021602463,0.7269758635498073
best-t2.1-alpha,Tardigrade_011_0031.png,10_C2PSA_Attention,0.47436148,0.08898472592695608
best-t2.1-alpha,Tardigrade_011_0031.png,16,0.24835195,0.15970358221909903
best-t2.1-alpha,Tardigrade_011_0031.png,19,0.29318836,0.08890958400613701
best-t2.1-alpha,Tardigrade_011_0031.png,22,0.028851636,0.11983006492687981
best-t2.1-alpha,Tardigrade_011_0020.png,10_C2PSA_Attention,0.012875983,0.19006957351298995
best-t2.1-alpha,Tardigrade_011_0020.png,16,0.31812865,0.14409656333185214
best-t2.1-alpha,Tardigrade_011_0020.png,19,0.17103314,0.26774397623745444
best-t2.1-alpha,Tardigrade_011_0020.png,22,0.05853409,0.1311760613127079
best-t2.1-alpha,Tardigrade_011_0084.png,10_C2PSA_Attention,0.0032083634,0.41631916776538064
best-t2.1-alpha,Tardigrade_011_0084.png,16,0.20982814,0.055296270992858165
best-t2.1-alpha,Tardigrade_011_0084.png,19,0.034731373,0.24913119917228052
best-t2.1-alpha,Tardigrade_011_0084.png,22,0.011104898,0.34127222029133353
best-t2.1-alpha,Tardigrade_01_0006.png,10_C2PSA_Attention,0.39993352,0.6336022988211527
best-t2.1-alpha,Tardigrade_01_0006.png,16,0.4159968,0.42831236871504763
best-t2.1-alpha,Tardigrade_01_0006.png,19,0.109875366,0.4169252803012612
best-t2.1-alpha,Tardigrade_01_0006.png,22,0.043141507,0.4590397430930395
best-t2.1-alpha,Tardigrade_08.JPG,10_C2PSA_Attention,0.027517771,0.43517281856585077
best-t2.1-alpha,Tardigrade_08.JPG,16,0.1308251,0.4555315798083049
best-t2.1-alpha,Tardigrade_08.JPG,19,0.04498629,0.378401675626771
best-t2.1-alpha,Tardigrade_08.JPG,22,0.012129428,0.5029187767065145
best-t2.1-alpha,Tardigrade_011_0073.png,10_C2PSA_Attention,0.54779416,0.022766698676558488
best-t2.1-alpha,Tardigrade_011_0073.png,16,0.0914945,0.21480486926038844
best-t2.1-alpha,Tardigrade_011_0073.png,19,0.10188297,0.0954648546352239
best-t2.1-alpha,Tardigrade_011_0073.png,22,0.049531043,0.16325235724454362
best-t2.1-alpha,Tardigrade_011_0006.png,10_C2PSA_Attention,0.2052872,0.14624251292216553
best-t2.1-alpha,Tardigrade_011_0006.png,16,0.46345523,0.11295465647680301
best-t2.1-alpha,Tardigrade_011_0006.png,19,0.48023736,0.101931665553755
best-t2.1-alpha,Tardigrade_011_0006.png,22,0.10491082,0.13011813868162903
best-t2.1-alpha,Tardigrade_012_0004.png,10_C2PSA_Attention,0.05193591,0.026341181249433333
best-t2.1-alpha,Tardigrade_012_0004.png,16,0.74271244,0.04022903395048144
best-t2.1-alpha,Tardigrade_012_0004.png,19,0.6713063,0.11291924762327751
best-t2.1-alpha,Tardigrade_012_0004.png,22,0.09212116,0.11887787710154048
best-t2.1-alpha,Tardigrade_011_0004.png,10_C2PSA_Attention,0.16960064,0.13302529142664415
best-t2.1-alpha,Tardigrade_011_0004.png,16,0.32794285,0.16384630164239558
best-t2.1-alpha,Tardigrade_011_0004.png,19,0.5515876,0.13618477802162504
best-t2.1-alpha,Tardigrade_011_0004.png,22,0.08215927,0.12823782578468268
best-t2.1-alpha,Tardigrade_011_0014.png,10_C2PSA_Attention,0.3614922,0.34527847338555956
best-t2.1-alpha,Tardigrade_011_0014.png,16,0.10804209,0.1654285918567825
best-t2.1-alpha,Tardigrade_011_0014.png,19,0.04508561,0.06029094664905833
best-t2.1-alpha,Tardigrade_011_0014.png,22,0.060638167,0.006589334526429076
best-t2.1-alpha,Tardigrade_01_0004.png,10_C2PSA_Attention,0.40808547,0.47263781699884544
best-t2.1-alpha,Tardigrade_01_0004.png,16,0.07201869,0.4585933474635534
best-t2.1-alpha,Tardigrade_01_0004.png,19,0.12953576,0.5075540448668286
best-t2.1-alpha,Tardigrade_01_0004.png,22,0.03011614,0.5968926271032144
best-t2.1-alpha,Tardigrade_011_0044.png,10_C2PSA_Attention,0.5710891,0.026605026710073948
best-t2.1-alpha,Tardigrade_011_0044.png,16,0.2577943,0.14880141887951698
best-t2.1-alpha,Tardigrade_011_0044.png,19,0.058415256,0.12260858935223673
best-t2.1-alpha,Tardigrade_011_0044.png,22,0.028838994,0.12430977122132784
best-t2.1-alpha,Tardigrade_010.JPG,10_C2PSA_Attention,0.36389458,0.1125679993870877
best-t2.1-alpha,Tardigrade_010.JPG,16,0.17012472,0.18668623113685412
best-t2.1-alpha,Tardigrade_010.JPG,19,0.031710785,0.14649711268826618
best-t2.1-alpha,Tardigrade_010.JPG,22,0.021294804,0.07711842155898897
